City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
238,Borogontsy,62.6683,131.1683,overcast clouds,26.26,72,100,7.58,RU
239,Pangnirtung,66.1451,-65.7125,clear sky,30.29,61,9,3.49,CA
240,Ellwangen,48.9616,10.1317,overcast clouds,52.41,94,100,6.4,DE
241,Namatanai,-3.6667,152.4333,scattered clouds,86.0,65,29,6.13,PG
242,Koumac,-20.5667,164.2833,overcast clouds,77.05,58,92,10.0,NC
243,Longyearbyen,78.2186,15.6401,broken clouds,35.44,100,75,3.44,SJ
244,Isangel,-19.55,169.2667,broken clouds,80.71,89,75,8.05,VU
245,Ercis,39.0287,43.3586,broken clouds,56.59,45,67,2.93,TR
246,Fortuna,40.5982,-124.1573,clear sky,62.92,78,10,4.0,US
247,Kholtoson,50.2981,103.3097,clear sky,26.15,52,4,2.01,RU
248,Senneterre,48.3835,-77.2328,few clouds,35.55,67,21,1.16,CA
249,Codrington,-38.2667,141.9667,broken clouds,61.97,69,71,3.98,AU
250,Vardo,70.3705,31.1107,overcast clouds,39.18,93,100,2.3,NO
251,Narsaq,60.9167,-46.05,scattered clouds,37.62,65,33,4.07,GL
252,Meadow Lake,34.8014,-106.5436,scattered clouds,74.68,39,29,6.82,US
253,Trat,12.5,102.5,overcast clouds,75.42,94,100,3.71,TH
254,Bathurst,-33.4166,149.5806,light rain,58.96,59,100,1.01,AU
255,Zhigansk,66.7697,123.3711,overcast clouds,24.96,81,99,3.38,RU
256,Payakumbuh,-0.2202,100.6308,overcast clouds,75.25,86,99,0.89,ID
257,Pangkalanbuun,-2.6833,111.6167,overcast clouds,78.35,88,100,0.76,ID
258,Tsumeb,-19.2333,17.7167,clear sky,75.43,16,0,6.49,NA
259,Pochutla,15.7432,-96.4661,overcast clouds,79.83,90,100,4.07,MX
260,New Norfolk,-42.7826,147.0587,overcast clouds,58.71,46,100,2.53,AU
261,Kruisfontein,-34.0033,24.7314,clear sky,58.91,71,0,17.38,ZA
262,Taltal,-25.4,-70.4833,clear sky,59.81,72,8,4.76,CL
263,Peace River,56.2501,-117.286,few clouds,66.51,27,20,5.75,CA
264,Prince George,53.9166,-122.753,clear sky,66.61,62,0,2.3,CA
265,Melita,49.2681,-100.9967,overcast clouds,62.24,48,94,3.27,CA
266,Nusaybin,37.0778,41.2178,clear sky,67.59,22,0,6.91,TR
267,Umm Kaddadah,13.6017,26.6876,light rain,84.07,47,98,2.39,SD
268,Gushikawa,26.3544,127.8686,scattered clouds,85.23,74,40,9.22,JP
269,Sansepolcro,43.5747,12.143,clear sky,62.1,67,3,2.04,IT
270,Altay,47.8667,88.1167,clear sky,32.61,30,0,7.09,CN
271,Saint Anthony,45.0205,-93.218,clear sky,68.13,61,0,11.5,US
272,Kawalu,-7.3817,108.2082,overcast clouds,75.85,90,100,2.8,ID
273,Sihora,23.4833,80.1167,overcast clouds,70.95,82,100,2.91,IN
274,Barra Do Garcas,-15.89,-52.2567,overcast clouds,74.68,81,100,8.81,BR
275,Mount Isa,-20.7333,139.5,overcast clouds,87.57,19,100,10.36,AU
276,Salalah,17.0151,54.0924,broken clouds,80.69,78,75,5.75,OM
277,Kloulklubed,7.0419,134.2556,overcast clouds,86.5,76,99,12.17,PW
278,Tiznit,29.5833,-9.5,clear sky,75.42,31,0,4.68,MA
279,Krasnyy Chikoy,50.3643,108.7512,overcast clouds,30.02,67,97,10.6,RU
280,Ati,13.2154,18.3353,overcast clouds,83.46,60,97,14.38,TD
281,Mehamn,71.0357,27.8492,overcast clouds,39.15,93,100,3.44,NO
282,Gboko,7.3179,8.9951,light rain,73.13,93,100,7.02,NG
283,Dehloran,32.6941,47.2679,clear sky,84.09,14,0,4.83,IR
284,Grindavik,63.8424,-22.4338,broken clouds,49.95,87,75,23.02,IS
